Name;Surname;SID;GPA;Grade;Credits;email;password;SFID;Major
Aleida;Stephani;43541;1.1;2;52;astephani@du.edu.tr;AS43541;1;International Relations
Aleisha;Stephania;43542;3.74;1;32;astephania@du.edu.tr;AS43542;4;Philosophy
Alejandra;Stephanie;43543;3.83;3;80;astephanie@du.edu.tr;AS43543;1;Economy
Alejandrina;Stephany;43544;3.36;2;67;astephany@du.edu.tr;AS43544;1;Economy
Alejandro;Stephen;43545;3.1;4;120;astephen@du.edu.tr;AS43545;1;Business Administration
Alena;Stephenie;43546;1.14;4;114;astephenie@du.edu.tr;AS43546;0;Molecular Biology and Genetics
Alene;Stephine;43547;1.29;4;136;astephine@du.edu.tr;AS43547;2;Chemical and Biological Engineering 
Alesha;Stephnie;43548;2.33;3;98;astephnie@du.edu.tr;AS43548;4;Comparative Literature
Aleshia;Sterling;43549;1.46;4;131;asterling@du.edu.tr;AS43549;3;Law
Alesia;Steve;43550;3.42;4;129;asteve@du.edu.tr;AS43550;1;Business Administration
Alessandra;Steven;43551;1.69;4;133;asteven@du.edu.tr;AS43551;2;Computer Engineering
Aleta;Stevie;43552;2.84;2;45;astevie@du.edu.tr;AS43552;0;Mathematics
Aletha;Stewart;43553;2.02;2;38;astewart@du.edu.tr;AS43553;4;Comparative Literature
Alethea;Stormy;43554;3.69;1;4;astormy@du.edu.tr;AS43554;3;Law
Alethia;Stuart;43555;3.55;4;133;astuart@du.edu.tr;AS43555;3;Law
Alex;Su;43556;2.02;1;16;asu@du.edu.tr;AS43556;2;Chemical and Biological Engineering 
Alexa;Suanne;43557;1.19;3;103;asuanne@du.edu.tr;AS43557;2;Electrical and Electronics Engineering
Alexander;Sudie;43558;2.26;4;125;asudie@du.edu.tr;AS43558;1;Economy
Alexandra;Sue;43559;1.85;3;91;asue@du.edu.tr;AS43559;4;Media and Visual Arts
Alexandria;Sueann;43560;1.56;1;10;asueann@du.edu.tr;AS43560;1;Economy
Alexia;Suellen;43561;3.21;1;31;asuellen@du.edu.tr;AS43561;4;Comparative Literature
Alexis;Suk;43562;3.94;3;73;asuk@du.edu.tr;AS43562;3;Law
Alfonso;Sulema;43563;1.24;4;136;asulema@du.edu.tr;AS43563;1;International Relations
Alfonzo;Sumiko;43564;1.73;1;17;asumiko@du.edu.tr;AS43564;2;Industrial Engineering
Alfred;Summer;43565;1.09;4;133;asummer@du.edu.tr;AS43565;3;Law
Alfreda;Sun;43566;2.14;3;86;asun@du.edu.tr;AS43566;4;Media and Visual Arts
Alfredia;Sunday;43567;1.58;3;98;asunday@du.edu.tr;AS43567;2;Industrial Engineering
Alfredo;Sung;43568;2.95;1;22;asung@du.edu.tr;AS43568;4;Comparative Literature
Ali;Sunni;43569;2.15;2;37;asunni@du.edu.tr;AS43569;0;Mathematics
Alia;Sunny;43570;1.48;3;75;asunny@du.edu.tr;AS43570;2;Industrial Engineering
Alica;Sunshine;43571;3.04;3;90;asunshine@du.edu.tr;AS43571;1;International Relations
Alice;Susan;43572;2.31;3;96;asusan@du.edu.tr;AS43572;1;International Relations
Alicia;Susana;43573;3.62;1;9;asusana@du.edu.tr;AS43573;4;Psychology
Alida;Susann;43574;3.16;1;20;asusann@du.edu.tr;AS43574;0;Chemistry
Alina;Susanna;43575;1.85;3;71;asusanna@du.edu.tr;AS43575;3;Law
Aline;Susannah;43576;2.54;3;89;asusannah@du.edu.tr;AS43576;4;Philosophy
Alisa;Susanne;43577;3.39;2;49;asusanne@du.edu.tr;AS43577;2;Industrial Engineering
Alise;Susie;43578;2.05;2;59;asusie@du.edu.tr;AS43578;0;Mathematics
Alisha;Susy;43579;3.45;2;42;asusy@du.edu.tr;AS43579;0;Chemistry
Alishia;Suzan;43580;2.68;1;15;asuzan@du.edu.tr;AS43580;2;Computer Engineering
Alisia;Suzann;43581;3.28;4;120;asuzann@du.edu.tr;AS43581;1;Business Administration
Alison;Suzanna;43582;3.62;1;35;asuzanna@du.edu.tr;AS43582;3;Law
Alissa;Suzanne;43583;3.72;1;9;asuzanne@du.edu.tr;AS43583;4;Philosophy
Alita;Suzette;43584;3.34;1;19;asuzette@du.edu.tr;AS43584;1;Economy
Alix;Suzi;43585;1.63;1;25;asuzi@du.edu.tr;AS43585;2;Computer Engineering
Aliza;Suzie;43586;2.84;3;71;asuzie@du.edu.tr;AS43586;0;Molecular Biology and Genetics
Alla;Suzy;43587;2.08;3;91;asuzy@du.edu.tr;AS43587;3;Law
Allan;Svetlana;43588;1.57;1;24;asvetlana@du.edu.tr;AS43588;1;Economy
Alleen;Sybil;43589;2.31;4;132;asybil@du.edu.tr;AS43589;3;Law
Allegra;Syble;43590;3.11;1;23;asyble@du.edu.tr;AS43590;2;Electrical and Electronics Engineering
Allen;Sydney;43591;3.43;2;37;asydney@du.edu.tr;AS43591;3;Law
Allena;Sylvester;43592;3.3;2;70;asylvester@du.edu.tr;AS43592;1;Business Administration
Allene;Sylvia;43593;2.18;1;15;asylvia@du.edu.tr;AS43593;1;Economy
Allie;Sylvie;43594;3.83;2;52;asylvie@du.edu.tr;AS43594;0;Mathematics
Alline;Synthia;43595;3.18;4;139;asynthia@du.edu.tr;AS43595;3;Law
Allison;Syreeta;43596;1.48;2;45;asyreeta@du.edu.tr;AS43596;2;Computer Engineering
Allyn;Ta;43597;3.06;4;113;ata@du.edu.tr;AT43597;2;Mechanical Engineering
Allyson;Tabatha;43598;2.21;2;60;atabatha@du.edu.tr;AT43598;0;Mathematics
Alma;Tabetha;43599;1.54;3;96;atabetha@du.edu.tr;AT43599;1;Economy
Almeda;Tabitha;43600;2.93;1;25;atabitha@du.edu.tr;AT43600;3;Law
Almeta;Tad;43601;1.58;4;124;atad@du.edu.tr;AT43601;2;Industrial Engineering
Alona;Tai;43602;1.91;4;116;atai@du.edu.tr;AT43602;3;Law
Alonso;Taina;43603;1.18;3;97;ataina@du.edu.tr;AT43603;0;Physics
Alonzo;Taisha;43604;1.6;2;51;ataisha@du.edu.tr;AT43604;2;Computer Engineering
Alpha;Tajuana;43605;3.73;2;62;atajuana@du.edu.tr;AT43605;1;International Relations
Alphonse;Takako;43606;1.7;3;102;atakako@du.edu.tr;AT43606;2;Electrical and Electronics Engineering
Alphonso;Takisha;43607;3.38;1;10;atakisha@du.edu.tr;AT43607;1;Economy
Alta;Talia;43608;2.47;1;14;atalia@du.edu.tr;AT43608;2;Electrical and Electronics Engineering
Altagracia;Talisha;43609;2.76;1;3;atalisha@du.edu.tr;AT43609;4;Media and Visual Arts
Altha;Talitha;43610;1.75;2;59;atalitha@du.edu.tr;AT43610;4;Media and Visual Arts
Althea;Tam;43611;1.11;1;17;atam@du.edu.tr;AT43611;2;Electrical and Electronics Engineering
Alton;Tama;43612;3.33;3;83;atama@du.edu.tr;AT43612;0;Mathematics
Alva;Tamala;43613;2.19;2;44;atamala@du.edu.tr;AT43613;4;History
Alvaro;Tamar;43614;1.54;2;66;atamar@du.edu.tr;AT43614;3;Law
Alvera;Tamara;43615;2.84;4;139;atamara@du.edu.tr;AT43615;0;Molecular Biology and Genetics
Alverta;Tamatha;43616;2.74;2;65;atamatha@du.edu.tr;AT43616;3;Law
Alvin;Tambra;43617;2.52;1;12;atambra@du.edu.tr;AT43617;0;Physics
Alvina;Tameika;43618;1.8;4;109;atameika@du.edu.tr;AT43618;0;Mathematics
Alyce;Tameka;43619;2.69;3;101;atameka@du.edu.tr;AT43619;3;Law
Alycia;Tamekia;43620;3.87;4;115;atamekia@du.edu.tr;AT43620;0;Physics
Alysa;Tamela;43621;3.37;1;2;atamela@du.edu.tr;AT43621;1;Business Administration
Alyse;Tamera;43622;1.19;3;91;atamera@du.edu.tr;AT43622;0;Chemistry
Alysha;Tamesha;43623;2.74;4;112;atamesha@du.edu.tr;AT43623;0;Chemistry
Alysia;Tami;43624;3.4;4;122;atami@du.edu.tr;AT43624;4;Media and Visual Arts
Alyson;Tamica;43625;2.02;2;42;atamica@du.edu.tr;AT43625;0;Mathematics
Alyssa;Tamie;43626;2.98;1;18;atamie@du.edu.tr;AT43626;4;Comparative Literature
Amada;Tamika;43627;1.81;2;36;atamika@du.edu.tr;AT43627;3;Law
Amado;Tamiko;43628;2.44;3;76;atamiko@du.edu.tr;AT43628;3;Law
Amal;Tamisha;43629;2.04;4;126;atamisha@du.edu.tr;AT43629;0;Molecular Biology and Genetics
Amalia;Tammara;43630;3.39;2;66;atammara@du.edu.tr;AT43630;3;Law
Amanda;Tammera;43631;4;3;79;atammera@du.edu.tr;AT43631;3;Law
Amber;Tammi;43632;3.19;1;18;atammi@du.edu.tr;AT43632;1;Economy
Amberly;Tammie;43633;3.42;2;67;atammie@du.edu.tr;AT43633;2;Computer Engineering
Ambrose;Tammy;43634;3.19;3;87;atammy@du.edu.tr;AT43634;4;Psychology
Amee;Tamra;43635;3.79;4;110;atamra@du.edu.tr;AT43635;2;Mechanical Engineering
Amelia;Tana;43636;3.95;3;100;atana@du.edu.tr;AT43636;4;Psychology
America;Tandra;43637;1.41;3;80;atandra@du.edu.tr;AT43637;2;Industrial Engineering
Ami;Tandy;43638;2.33;1;2;atandy@du.edu.tr;AT43638;0;Physics
Amie;Taneka;43639;1.61;1;9;ataneka@du.edu.tr;AT43639;1;International Relations
Amiee;Tanesha;43640;1.37;1;28;atanesha@du.edu.tr;AT43640;0;Physics
Amina;Tangela;43641;1.48;2;51;atangela@du.edu.tr;AT43641;3;Law
Amira;Tania;43642;2.37;1;9;atania@du.edu.tr;AT43642;1;Business Administration
Ammie;Tanika;43643;1.07;4;114;atanika@du.edu.tr;AT43643;1;Economy
Amos;Tanisha;43644;2.69;4;106;atanisha@du.edu.tr;AT43644;0;Molecular Biology and Genetics
Amparo;Tanja;43645;3.97;4;121;atanja@du.edu.tr;AT43645;1;Business Administration
Amy;Tanna;43646;1.93;2;38;atanna@du.edu.tr;AT43646;4;Sociology
An;Tanner;43647;3.94;4;132;atanner@du.edu.tr;AT43647;1;Economy
Ana;Tanya;43648;2.52;3;80;atanya@du.edu.tr;AT43648;1;Economy
Anabel;Tara;43649;1.81;4;126;atara@du.edu.tr;AT43649;4;Sociology
Analisa;Tarah;43650;2.46;4;121;atarah@du.edu.tr;AT43650;0;Chemistry
Anamaria;Taren;43651;1.47;1;17;ataren@du.edu.tr;AT43651;1;Business Administration
Anastacia;Tari;43652;1.27;3;74;atari@du.edu.tr;AT43652;2;Mechanical Engineering
Anastasia;Tarra;43653;1.77;3;95;atarra@du.edu.tr;AT43653;3;Law
Andera;Tarsha;43654;1.73;2;43;atarsha@du.edu.tr;AT43654;2;Mechanical Engineering
Anderson;Taryn;43655;3.22;1;15;ataryn@du.edu.tr;AT43655;2;Chemical and Biological Engineering 
Andra;Tasha;43656;1.23;3;99;atasha@du.edu.tr;AT43656;0;Molecular Biology and Genetics
Andre;Tashia;43657;2.25;2;53;atashia@du.edu.tr;AT43657;1;Business Administration
Andrea;Tashina;43658;3.72;1;11;atashina@du.edu.tr;AT43658;0;Mathematics
Andreas;Tasia;43659;3.35;3;79;atasia@du.edu.tr;AT43659;2;Chemical and Biological Engineering 
Andree;Tatiana;43660;2.77;2;47;atatiana@du.edu.tr;AT43660;0;Mathematics
Andres;Tatum;43661;2.31;2;43;atatum@du.edu.tr;AT43661;4;Psychology
Andrew;Tatyana;43662;3.22;1;4;atatyana@du.edu.tr;AT43662;1;International Relations
Andria;Taunya;43663;1.69;3;102;ataunya@du.edu.tr;AT43663;2;Mechanical Engineering
Andy;Tawana;43664;3.93;1;16;atawana@du.edu.tr;AT43664;4;Archaeology and History of Art
Anette;Tawanda;43665;1.87;4;135;atawanda@du.edu.tr;AT43665;4;Psychology
Angel;Tawanna;43666;1.55;2;40;atawanna@du.edu.tr;AT43666;4;Media and Visual Arts
Angela;Tawna;43667;3.27;3;83;atawna@du.edu.tr;AT43667;2;Industrial Engineering
Angele;Tawny;43668;1.16;1;29;atawny@du.edu.tr;AT43668;1;International Relations
Angelena;Tawnya;43669;2.15;3;90;atawnya@du.edu.tr;AT43669;0;Molecular Biology and Genetics
Angeles;Taylor;43670;1.57;3;100;ataylor@du.edu.tr;AT43670;0;Chemistry
Angelia;Tayna;43671;1.6;1;27;atayna@du.edu.tr;AT43671;2;Computer Engineering
Angelic;Ted;43672;3.06;1;20;ated@du.edu.tr;AT43672;2;Chemical and Biological Engineering 
Angelica;Teddy;43673;2.2;1;2;ateddy@du.edu.tr;AT43673;3;Law
Angelika;Teena;43674;3.73;2;41;ateena@du.edu.tr;AT43674;4;Archaeology and History of Art
Angelina;Tegan;43675;1.91;3;73;ategan@du.edu.tr;AT43675;1;Business Administration
Angeline;Teisha;43676;3.23;4;130;ateisha@du.edu.tr;AT43676;1;Business Administration
Angelique;Telma;43677;1.59;2;50;atelma@du.edu.tr;AT43677;3;Law
Angelita;Temeka;43678;1.84;3;72;atemeka@du.edu.tr;AT43678;2;Chemical and Biological Engineering 
Angella;Temika;43679;1.68;4;123;atemika@du.edu.tr;AT43679;0;Molecular Biology and Genetics
Angelo;Tempie;43680;2.12;2;44;atempie@du.edu.tr;AT43680;3;Law
Angelyn;Temple;43681;2.2;2;44;atemple@du.edu.tr;AT43681;3;Law
Angie;Tena;43682;1.42;1;14;atena@du.edu.tr;AT43682;0;Chemistry
Angila;Tenesha;43683;1.33;2;55;atenesha@du.edu.tr;AT43683;0;Mathematics
Angla;Tenisha;43684;3.91;2;40;atenisha@du.edu.tr;AT43684;3;Law
Angle;Tennie;43685;3;1;35;atennie@du.edu.tr;AT43685;3;Law
Anglea;Tennille;43686;1.27;4;118;atennille@du.edu.tr;AT43686;2;Industrial Engineering
Anh;Teodora;43687;1.63;3;71;ateodora@du.edu.tr;AT43687;2;Mechanical Engineering
Anibal;Teodoro;43688;1.28;1;8;ateodoro@du.edu.tr;AT43688;4;History
Anika;Teofila;43689;3.43;4;136;ateofila@du.edu.tr;AT43689;4;Comparative Literature
Anisa;Tequila;43690;1.31;2;52;atequila@du.edu.tr;AT43690;0;Mathematics
Anisha;Tera;43691;2.24;2;68;atera@du.edu.tr;AT43691;0;Mathematics
Anissa;Tereasa;43692;2.47;1;17;atereasa@du.edu.tr;AT43692;4;Psychology
Anita;Terence;43693;2.91;3;97;aterence@du.edu.tr;AT43693;4;Philosophy
Anitra;Teresa;43694;1.76;3;90;ateresa@du.edu.tr;AT43694;1;Business Administration
Anja;Terese;43695;2.81;3;82;aterese@du.edu.tr;AT43695;3;Law
Anjanette;Teresia;43696;3.48;2;57;ateresia@du.edu.tr;AT43696;2;Chemical and Biological Engineering 
Anjelica;Teresita;43697;1.19;4;134;ateresita@du.edu.tr;AT43697;0;Molecular Biology and Genetics
Ann;Teressa;43698;3.64;1;24;ateressa@du.edu.tr;AT43698;4;Sociology
Anna;Teri;43699;1.1;3;85;ateri@du.edu.tr;AT43699;4;History
Annabel;Terica;43700;3.17;2;39;aterica@du.edu.tr;AT43700;1;Economy
Annabell;Terina;43701;1.72;3;72;aterina@du.edu.tr;AT43701;0;Chemistry
Annabelle;Terisa;43702;1.35;3;102;aterisa@du.edu.tr;AT43702;0;Physics
Annalee;Terra;43703;3.74;2;38;aterra@du.edu.tr;AT43703;2;Chemical and Biological Engineering 
Annalisa;Terrance;43704;2.48;3;100;aterrance@du.edu.tr;AT43704;3;Law
Annamae;Terrell;43705;2.06;1;8;aterrell@du.edu.tr;AT43705;1;Business Administration
Annamaria;Terrence;43706;3.17;4;136;aterrence@du.edu.tr;AT43706;2;Computer Engineering
Annamarie;Terresa;43707;2.67;2;36;aterresa@du.edu.tr;AT43707;4;Philosophy
Anne;Terri;43708;1.03;2;55;aterri@du.edu.tr;AT43708;3;Law
Anneliese;Terrie;43709;3.32;4;120;aterrie@du.edu.tr;AT43709;3;Law
Annelle;Terrilyn;43710;3.44;1;26;aterrilyn@du.edu.tr;AT43710;1;Economy
Annemarie;Terry;43711;1.19;4;132;aterry@du.edu.tr;AT43711;1;International Relations
Annett;Tesha;43712;1.21;3;73;atesha@du.edu.tr;AT43712;2;Mechanical Engineering
Annetta;Tess;43713;3.6;2;66;atess@du.edu.tr;AT43713;4;Philosophy
Annette;Tessa;43714;3.43;4;130;atessa@du.edu.tr;AT43714;2;Computer Engineering
Annice;Tessie;43715;2.29;1;17;atessie@du.edu.tr;AT43715;0;Molecular Biology and Genetics
Annie;Thad;43716;2.16;4;108;athad@du.edu.tr;AT43716;3;Law
Annika;Thaddeus;43717;2.93;1;31;athaddeus@du.edu.tr;AT43717;2;Chemical and Biological Engineering 
Annis;Thalia;43718;1.37;3;72;athalia@du.edu.tr;AT43718;2;Computer Engineering
Annita;Thanh;43719;3.92;3;74;athanh@du.edu.tr;AT43719;4;History
Annmarie;Thao;43720;1.28;1;7;athao@du.edu.tr;AT43720;0;Mathematics
Anthony;Thea;43721;1.39;2;40;athea@du.edu.tr;AT43721;1;Economy
Antione;Theda;43722;1.23;1;5;atheda@du.edu.tr;AT43722;3;Law
Antionette;Thelma;43723;3.42;1;30;athelma@du.edu.tr;AT43723;2;Computer Engineering
Antoine;Theo;43724;2.89;2;42;atheo@du.edu.tr;AT43724;4;History
Antoinette;Theodora;43725;2.43;4;132;atheodora@du.edu.tr;AT43725;0;Physics
Anton;Theodore;43726;3.35;4;108;atheodore@du.edu.tr;AT43726;4;Sociology
Antone;Theola;43727;2.34;4;135;atheola@du.edu.tr;AT43727;4;Sociology
Antonetta;Theresa;43728;3.33;3;93;atheresa@du.edu.tr;AT43728;0;Molecular Biology and Genetics
Antonette;Therese;43729;1.05;3;74;atherese@du.edu.tr;AT43729;1;Business Administration
Antonia;Theresia;43730;2.51;4;117;atheresia@du.edu.tr;AT43730;4;Philosophy
Antonietta;Theressa;43731;3.13;3;91;atheressa@du.edu.tr;AT43731;2;Computer Engineering
Antonina;Theron;43732;1.41;3;99;atheron@du.edu.tr;AT43732;1;Economy
Antonio;Thersa;43733;1.27;1;31;athersa@du.edu.tr;AT43733;4;Media and Visual Arts
Antony;Thi;43734;2.39;4;136;athi@du.edu.tr;AT43734;2;Chemical and Biological Engineering 
Antwan;Thomas;43735;3.22;3;79;athomas@du.edu.tr;AT43735;0;Chemistry
Anya;Thomasena;43736;1.45;2;41;athomasena@du.edu.tr;AT43736;0;Chemistry
Apolonia;Thomasina;43737;3.99;1;35;athomasina@du.edu.tr;AT43737;2;Electrical and Electronics Engineering
April;Thomasine;43738;3.73;2;38;athomasine@du.edu.tr;AT43738;0;Molecular Biology and Genetics
Apryl;Thora;43739;3.27;2;43;athora@du.edu.tr;AT43739;4;Media and Visual Arts
Ara;Thresa;43740;1.98;1;23;athresa@du.edu.tr;AT43740;1;International Relations
Araceli;Thu;43741;2.18;2;38;athu@du.edu.tr;AT43741;0;Molecular Biology and Genetics
Aracelis;Thurman;43742;1.49;2;51;athurman@du.edu.tr;AT43742;4;Sociology
Aracely;Thuy;43743;3.69;2;58;athuy@du.edu.tr;AT43743;3;Law
Arcelia;Tia;43744;1.17;3;82;atia@du.edu.tr;AT43744;4;Psychology
Archie;Tiana;43745;1.35;1;1;atiana@du.edu.tr;AT43745;1;Economy
Ardath;Tianna;43746;3.65;3;75;atianna@du.edu.tr;AT43746;0;Chemistry
Ardelia;Tiara;43747;3.43;3;103;atiara@du.edu.tr;AT43747;3;Law
Ardell;Tien;43748;1.66;3;95;atien@du.edu.tr;AT43748;0;Chemistry
Ardella;Tiera;43749;3.46;3;96;atiera@du.edu.tr;AT43749;4;Sociology
Ardelle;Tierra;43750;1.34;1;7;atierra@du.edu.tr;AT43750;3;Law
Arden;Tiesha;43751;3.43;4;138;atiesha@du.edu.tr;AT43751;1;Economy
Ardis;Tifany;43752;3.88;3;86;atifany@du.edu.tr;AT43752;4;Media and Visual Arts
Ardith;Tiffaney;43753;3.51;4;113;atiffaney@du.edu.tr;AT43753;0;Mathematics
Aretha;Tiffani;43754;1.78;1;27;atiffani@du.edu.tr;AT43754;4;Media and Visual Arts
Argelia;Tiffanie;43755;1.21;3;85;atiffanie@du.edu.tr;AT43755;1;Economy
Argentina;Tiffany;43756;1.24;2;59;atiffany@du.edu.tr;AT43756;4;Psychology
