IID;INAME;ISURNAME;MAIL
44;"""Jose""";"""Dixon""";"""jdixon@du.edu.tr"""
45;"""Rhonda""";"""Glover""";"""rglover@du.edu.tr"""
46;"""Cindy""";"""Robinson""";"""crobinson@du.edu.tr"""
47;"""James""";"""Smith""";"""jsmith@du.edu.tr"""
48;"""Jose""";"""Carson""";"""jcarson@du.edu.tr"""
49;"""Jessica""";"""Bell""";"""jbell@du.edu.tr"""
50;"""Erica""";"""Jenkins""";"""ejenkins@du.edu.tr"""
51;"""Ruben""";"""Matthews""";"""rmatthews@du.edu.tr"""
52;"""Monica""";"""Roberts""";"""mroberts@du.edu.tr"""
53;"""Evan""";"""Taylor""";"""etaylor@du.edu.tr"""
54;"""Michael""";"""Smith""";"""msmith@du.edu.tr"""
55;"""Samuel""";"""Gibbs""";"""sgibbs@du.edu.tr"""
56;"""Michael""";"""Lewis""";"""mlewis@du.edu.tr"""
57;"""Lance""";"""Jones""";"""ljones@du.edu.tr"""
58;"""Joseph""";"""Lee""";"""jlee@du.edu.tr"""
59;"""Megan""";"""Walker""";"""mwalker@du.edu.tr"""
60;"""April""";"""Spencer""";"""aspencer@du.edu.tr"""
61;"""Michelle""";"""Lam""";"""mlam@du.edu.tr"""
62;"""Michele""";"""Moore""";"""mmoore@du.edu.tr"""
63;"""Corey""";"""Miller""";"""cmiller@du.edu.tr"""
64;"""Michael""";"""Jefferson""";"""mjefferson@du.edu.tr"""
65;"""Allison""";"""Martin""";"""amartin@du.edu.tr"""
66;"""Beverly""";"""Hopkins""";"""bhopkins@du.edu.tr"""
67;"""Nicholas""";"""Austin""";"""naustin@du.edu.tr"""
68;"""Daniel""";"""Erickson""";"""derickson@du.edu.tr"""
69;"""Cameron""";"""Meyer""";"""cmeyer@du.edu.tr"""
70;"""Patrick""";"""White""";"""pwhite@du.edu.tr"""
71;"""Shaun""";"""Hunt""";"""shunt@du.edu.tr"""
72;"""Olivia""";"""Collins""";"""ocollins@du.edu.tr"""
73;"""Shannon""";"""Horton""";"""shorton@du.edu.tr"""
74;"""Eric""";"""Warren""";"""ewarren@du.edu.tr"""
75;"""Howard""";"""Garcia""";"""hgarcia@du.edu.tr"""
76;"""Janet""";"""Hernandez""";"""jhernandez@du.edu.tr"""
77;"""Alexis""";"""Vazquez""";"""avazquez@du.edu.tr"""
78;"""Sarah""";"""Myers""";"""smyers@du.edu.tr"""
79;"""Beverly""";"""Anderson""";"""banderson@du.edu.tr"""
80;"""Laura""";"""Lopez""";"""llopez@du.edu.tr"""
81;"""Brian""";"""Freeman""";"""bfreeman@du.edu.tr"""
82;"""Jason""";"""Cowan""";"""jcowan@du.edu.tr"""
83;"""Jose""";"""Smith""";"""jsmith@du.edu.tr"""
84;"""Michaela""";"""Carroll""";"""mcarroll@du.edu.tr"""
85;"""Jason""";"""Bailey""";"""jbailey@du.edu.tr"""
86;"""Jessica""";"""Schneider""";"""jschneider@du.edu.tr"""
87;"""Denise""";"""Schneider""";"""dschneider@du.edu.tr"""
88;"""Douglas""";"""Morgan""";"""dmorgan@du.edu.tr"""
89;"""Miranda""";"""Holt""";"""mholt@du.edu.tr"""
90;"""Samuel""";"""Carpenter""";"""scarpenter@du.edu.tr"""
91;"""Ryan""";"""Diaz""";"""rdiaz@du.edu.tr"""
92;"""Maxwell""";"""Lopez""";"""mlopez@du.edu.tr"""
93;"""Randy""";"""Jenkins""";"""rjenkins@du.edu.tr"""
94;"""Michael""";"""Smith""";"""msmith@du.edu.tr"""
95;"""Michael""";"""Henry""";"""mhenry@du.edu.tr"""
96;"""Jeffery""";"""Mcdaniel""";"""jmcdaniel@du.edu.tr"""
97;"""Stacy""";"""Love""";"""slove@du.edu.tr"""
98;"""Melissa""";"""Huang""";"""mhuang@du.edu.tr"""
99;"""Thomas""";"""Lawrence""";"""tlawrence@du.edu.tr"""
100;"""Jessica""";"""Watts""";"""jwatts@du.edu.tr"""
101;"""Wendy""";"""Olsen""";"""wolsen@du.edu.tr"""
102;"""Jordan""";"""Lawson""";"""jlawson@du.edu.tr"""
103;"""Jessica""";"""Newman""";"""jnewman@du.edu.tr"""
104;"""Jessica""";"""White""";"""jwhite@du.edu.tr"""
105;"""Suzanne""";"""Collins""";"""scollins@du.edu.tr"""
106;"""Charles""";"""Williamson""";"""cwilliamson@du.edu.tr"""
107;"""Jeremy""";"""Johnson""";"""jjohnson@du.edu.tr"""
108;"""Tyler""";"""Hill""";"""thill@du.edu.tr"""
109;"""Lori""";"""Love""";"""llove@du.edu.tr"""
110;"""Roy""";"""Hahn""";"""rhahn@du.edu.tr"""
111;"""Randy""";"""Moore""";"""rmoore@du.edu.tr"""
112;"""Erik""";"""Jackson""";"""ejackson@du.edu.tr"""
113;"""Brianna""";"""Hill""";"""bhill@du.edu.tr"""
114;"""Kyle""";"""Collins""";"""kcollins@du.edu.tr"""
115;"""Regina""";"""Gonzalez""";"""rgonzalez@du.edu.tr"""
116;"""Jillian""";"""Gonzalez""";"""jgonzalez@du.edu.tr"""
117;"""James""";"""Lewis""";"""jlewis@du.edu.tr"""
118;"""Frank""";"""Flores""";"""fflores@du.edu.tr"""
119;"""Nancy""";"""Carney""";"""ncarney@du.edu.tr"""
120;"""Monica""";"""Lewis""";"""mlewis@du.edu.tr"""
121;"""George""";"""Barton""";"""gbarton@du.edu.tr"""
122;"""Sarah""";"""Kemp""";"""skemp@du.edu.tr"""
123;"""Scott""";"""Mcknight""";"""smcknight@du.edu.tr"""
124;"""Brent""";"""Taylor""";"""btaylor@du.edu.tr"""
125;"""Bruce""";"""Woods""";"""bwoods@du.edu.tr"""
126;"""April""";"""Foster""";"""afoster@du.edu.tr"""
127;"""Rebecca""";"""Sims""";"""rsims@du.edu.tr"""
128;"""Lauren""";"""Cox""";"""lcox@du.edu.tr"""
129;"""Dillon""";"""Castro""";"""dcastro@du.edu.tr"""
130;"""Michael""";"""Williams""";"""mwilliams@du.edu.tr"""
131;"""Austin""";"""Peters""";"""apeters@du.edu.tr"""
132;"""Rachel""";"""Nielsen""";"""rnielsen@du.edu.tr"""
133;"""Gina""";"""Williams""";"""gwilliams@du.edu.tr"""
134;"""Phyllis""";"""White""";"""pwhite@du.edu.tr"""
135;"""Jesse""";"""Dougherty""";"""jdougherty@du.edu.tr"""
136;"""Anthony""";"""Duncan""";"""aduncan@du.edu.tr"""
137;"""Laura""";"""Allison""";"""lallison@du.edu.tr"""
138;"""Kevin""";"""Adams""";"""kadams@du.edu.tr"""
139;"""Breanna""";"""Cooke""";"""bcooke@du.edu.tr"""
140;"""William""";"""Johnston""";"""wjohnston@du.edu.tr"""
141;"""Jennifer""";"""Guzman""";"""jguzman@du.edu.tr"""
142;"""Steven""";"""Taylor""";"""staylor@du.edu.tr"""
143;"""Calvin""";"""Watson""";"""cwatson@du.edu.tr"""
144;"""Victoria""";"""Craig""";"""vcraig@du.edu.tr"""
145;"""Christopher""";"""Sandoval""";"""csandoval@du.edu.tr"""
146;"""Laura""";"""Villa""";"""lvilla@du.edu.tr"""
147;"""Karina""";"""Coleman""";"""kcoleman@du.edu.tr"""
148;"""Brittany""";"""Wright""";"""bwright@du.edu.tr"""
149;"""Deborah""";"""Mckee""";"""dmckee@du.edu.tr"""
150;"""Timothy""";"""Pace""";"""tpace@du.edu.tr"""
151;"""Kimberly""";"""Miller""";"""kmiller@du.edu.tr"""
152;"""Amanda""";"""Hall""";"""ahall@du.edu.tr"""
153;"""Rick""";"""Cruz""";"""rcruz@du.edu.tr"""
154;"""Jose""";"""Garcia""";"""jgarcia@du.edu.tr"""
155;"""Louis""";"""Vasquez""";"""lvasquez@du.edu.tr"""
156;"""Beth""";"""Cunningham""";"""bcunningham@du.edu.tr"""
157;"""Daniel""";"""Wong""";"""dwong@du.edu.tr"""
158;"""Stephen""";"""Davidson""";"""sdavidson@du.edu.tr"""
159;"""Marissa""";"""Gilbert""";"""mgilbert@du.edu.tr"""
160;"""Julia""";"""Moore""";"""jmoore@du.edu.tr"""
161;"""Barbara""";"""Gutierrez""";"""bgutierrez@du.edu.tr"""
162;"""Chris""";"""Thomas""";"""cthomas@du.edu.tr"""
163;"""Michaela""";"""Kirk""";"""mkirk@du.edu.tr"""
164;"""Denise""";"""Taylor""";"""dtaylor@du.edu.tr"""
165;"""Natalie""";"""Lynch""";"""nlynch@du.edu.tr"""
166;"""David""";"""Stewart""";"""dstewart@du.edu.tr"""
167;"""Robin""";"""Murphy""";"""rmurphy@du.edu.tr"""
168;"""Annette""";"""Lewis""";"""alewis@du.edu.tr"""
169;"""David""";"""Smith""";"""dsmith@du.edu.tr"""
170;"""Michael""";"""Chan""";"""mchan@du.edu.tr"""
171;"""Daniel""";"""Ferrell""";"""dferrell@du.edu.tr"""
172;"""Robert""";"""Williams""";"""rwilliams@du.edu.tr"""
173;"""Adrian""";"""Fuentes""";"""afuentes@du.edu.tr"""
174;"""Philip""";"""Anthony""";"""panthony@du.edu.tr"""
175;"""Sharon""";"""Nelson""";"""snelson@du.edu.tr"""
176;"""Heather""";"""Smith""";"""hsmith@du.edu.tr"""
177;"""Courtney""";"""Harrington""";"""charrington@du.edu.tr"""
178;"""Sheryl""";"""Jacobson""";"""sjacobson@du.edu.tr"""
179;"""Steven""";"""Bell""";"""sbell@du.edu.tr"""
180;"""Laura""";"""Brown""";"""lbrown@du.edu.tr"""
181;"""Kimberly""";"""Tran""";"""ktran@du.edu.tr"""
182;"""Doris""";"""Foster""";"""dfoster@du.edu.tr"""
183;"""Denise""";"""Johns""";"""djohns@du.edu.tr"""
184;"""Madeline""";"""Hanson""";"""mhanson@du.edu.tr"""
185;"""Troy""";"""Burke""";"""tburke@du.edu.tr"""
186;"""April""";"""Mcbride""";"""amcbride@du.edu.tr"""
187;"""Diana""";"""Walker""";"""dwalker@du.edu.tr"""
188;"""Daniel""";"""Roman""";"""droman@du.edu.tr"""
189;"""Isaac""";"""Phillips""";"""ýphillips@du.edu.tr"""
190;"""Dana""";"""Lopez""";"""dlopez@du.edu.tr"""
191;"""Joseph""";"""Johnston""";"""jjohnston@du.edu.tr"""
192;"""Sharon""";"""Pace""";"""space@du.edu.tr"""
193;"""Vicki""";"""Yu""";"""vyu@du.edu.tr"""
194;"""Anthony""";"""Johnson""";"""ajohnson@du.edu.tr"""
195;"""Vanessa""";"""Nguyen""";"""vnguyen@du.edu.tr"""
196;"""William""";"""Scott""";"""wscott@du.edu.tr"""
197;"""Cassandra""";"""Sutton""";"""csutton@du.edu.tr"""
198;"""Marissa""";"""Cole""";"""mcole@du.edu.tr"""
199;"""Mark""";"""Bell""";"""mbell@du.edu.tr"""
200;"""Timothy""";"""Blake""";"""tblake@du.edu.tr"""
201;"""William""";"""Adams""";"""wadams@du.edu.tr"""
202;"""Katelyn""";"""Thomas""";"""kthomas@du.edu.tr"""
203;"""William""";"""Burke""";"""wburke@du.edu.tr"""
204;"""Edward""";"""Caldwell""";"""ecaldwell@du.edu.tr"""
205;"""Thomas""";"""Gray""";"""tgray@du.edu.tr"""
206;"""Rebecca""";"""Anderson""";"""randerson@du.edu.tr"""
207;"""Matthew""";"""Lewis""";"""mlewis@du.edu.tr"""
208;"""Amy""";"""Murphy""";"""amurphy@du.edu.tr"""
209;"""Michael""";"""Flores""";"""mflores@du.edu.tr"""
210;"""Misty""";"""Myers""";"""mmyers@du.edu.tr"""
211;"""Kevin""";"""Castro""";"""kcastro@du.edu.tr"""
212;"""Karen""";"""Murphy""";"""kmurphy@du.edu.tr"""
213;"""Abigail""";"""Weeks""";"""aweeks@du.edu.tr"""
214;"""Jasmine""";"""Eaton""";"""jeaton@du.edu.tr"""
215;"""Miguel""";"""Quinn""";"""mquinn@du.edu.tr"""
216;"""Karen""";"""Maldonado""";"""kmaldonado@du.edu.tr"""
217;"""Michael""";"""Howard""";"""mhoward@du.edu.tr"""
218;"""Ashley""";"""Perry""";"""aperry@du.edu.tr"""
219;"""Daniel""";"""Watts""";"""dwatts@du.edu.tr"""
220;"""Matthew""";"""Wiggins""";"""mwiggins@du.edu.tr"""
221;"""Heather""";"""Joyce""";"""hjoyce@du.edu.tr"""
222;"""Brianna""";"""Campbell""";"""bcampbell@du.edu.tr"""
223;"""Mark""";"""Nguyen""";"""mnguyen@du.edu.tr"""
224;"""Stephen""";"""George""";"""sgeorge@du.edu.tr"""
225;"""Patricia""";"""Guerra""";"""pguerra@du.edu.tr"""
226;"""William""";"""King""";"""wking@du.edu.tr"""
227;"""James""";"""Cruz""";"""jcruz@du.edu.tr"""
228;"""Edward""";"""Anderson""";"""eanderson@du.edu.tr"""
229;"""Michael""";"""Walker""";"""mwalker@du.edu.tr"""
230;"""Leslie""";"""Livingston""";"""llivingston@du.edu.tr"""
231;"""Mary""";"""Smith""";"""msmith@du.edu.tr"""
232;"""Maria""";"""Miller""";"""mmiller@du.edu.tr"""
233;"""Jeremy""";"""Richards""";"""jrichards@du.edu.tr"""
234;"""Timothy""";"""Strickland""";"""tstrickland@du.edu.tr"""
235;"""Kristin""";"""Baxter""";"""kbaxter@du.edu.tr"""
236;"""Carolyn""";"""Palmer""";"""cpalmer@du.edu.tr"""
237;"""Ethan""";"""Stevens""";"""estevens@du.edu.tr"""
238;"""Rachael""";"""Ray""";"""rray@du.edu.tr"""
239;"""Cathy""";"""Jones""";"""cjones@du.edu.tr"""
240;"""Laura""";"""Hubbard""";"""lhubbard@du.edu.tr"""
241;"""Victor""";"""Barrett""";"""vbarrett@du.edu.tr"""
242;"""Susan""";"""Francis""";"""sfrancis@du.edu.tr"""
243;"""William""";"""Bryan""";"""wbryan@du.edu.tr"""
244;"""Connie""";"""Jones""";"""cjones@du.edu.tr"""
245;"""Amy""";"""White""";"""awhite@du.edu.tr"""
246;"""Timothy""";"""Foley""";"""tfoley@du.edu.tr"""
247;"""Jessica""";"""Patrick""";"""jpatrick@du.edu.tr"""
